#{"t_start": 1749052564.5378902, "env_id": "MountainCar-v0"}
r,l,t
-177.0,177,257.790929
-200.0,200,258.85208
-91.0,91,259.326296
-192.0,192,260.238185
-154.0,154,260.956987
-200.0,200,261.900408
-118.0,118,262.481542
-200.0,200,263.360465
-123.0,123,263.737103
-200.0,200,264.431028
-179.0,179,265.156518
-157.0,157,265.933481
-191.0,191,266.823403
-200.0,200,267.724994
-200.0,200,268.728116
-200.0,200,269.643701
-164.0,164,270.368496
-200.0,200,271.429945
-120.0,120,271.992922
-165.0,165,272.802228
-163.0,163,273.559229
-200.0,200,274.489182
-200.0,200,275.492006
-200.0,200,276.542296
-151.0,151,277.315037
-200.0,200,278.411425
-151.0,151,279.255757
-126.0,126,280.000339
-200.0,200,280.91721
-200.0,200,281.881344
-198.0,198,282.830337
-200.0,200,283.924538
-200.0,200,284.805626
-166.0,166,285.567296
-118.0,118,286.320016
-200.0,200,287.201941
-200.0,200,288.192983
-200.0,200,289.087236
-118.0,118,289.641843
-101.0,101,290.107734
-133.0,133,290.708667
-200.0,200,291.676291
-200.0,200,292.611529
-200.0,200,293.650376
-200.0,200,294.763476
-124.0,124,295.441339
-111.0,111,295.928777
-200.0,200,296.908001
-200.0,200,297.810006
-200.0,200,298.979992
-200.0,200,299.896799
-200.0,200,301.103574
-200.0,200,302.170087
-200.0,200,303.041204
-200.0,200,304.217057
-200.0,200,305.208949
-200.0,200,306.228595
-200.0,200,307.10149
-200.0,200,308.011631
-200.0,200,308.846822
-192.0,192,309.66256
-200.0,200,310.651094
-118.0,118,311.151892
-200.0,200,312.053192
-200.0,200,312.929463
-137.0,137,313.688804
-200.0,200,314.593671
-200.0,200,315.589666
-182.0,182,316.388208
-200.0,200,317.40903
-166.0,166,318.108334
-183.0,183,318.96075
-151.0,151,319.598585
-147.0,147,320.238718
-200.0,200,321.159164
-200.0,200,322.137922
-170.0,170,323.133377
-200.0,200,324.011594
-200.0,200,324.984465
-149.0,149,325.638951
-200.0,200,326.603671
-198.0,198,327.694016
-200.0,200,328.74183
-180.0,180,329.740842
-200.0,200,330.733006
-152.0,152,331.551591
-200.0,200,332.490861
-116.0,116,333.067619
-200.0,200,334.074687
-200.0,200,335.114931
-200.0,200,336.031703
-151.0,151,336.769511
-158.0,158,337.687049
-200.0,200,338.838479
-200.0,200,339.591502
-200.0,200,340.626699
-139.0,139,341.310889
-171.0,171,342.121363
-168.0,168,342.985777
-200.0,200,343.946193
-200.0,200,345.033852
-184.0,184,345.938974
-169.0,169,346.77283
-200.0,200,347.703525
-200.0,200,348.69236
-115.0,115,349.226277
-145.0,145,349.921198
-200.0,200,350.918778
-161.0,161,351.66693
-200.0,200,352.611005
-196.0,196,353.553613
-200.0,200,354.52901
-200.0,200,355.471732
-200.0,200,356.512147
-200.0,200,357.440729
-134.0,134,358.132564
-200.0,200,359.06095
-167.0,167,359.910715
-200.0,200,360.867926
-169.0,169,361.749835
-200.0,200,362.771834
-139.0,139,363.494088
-162.0,162,364.279305
-154.0,154,365.047382
-200.0,200,366.03372
-200.0,200,367.099741
-200.0,200,368.041096
-142.0,142,368.688833
-166.0,166,369.424356
-200.0,200,370.241029
-200.0,200,371.077639
-158.0,158,371.893298
-200.0,200,372.914344
-200.0,200,373.871091
-200.0,200,374.861741
-200.0,200,375.787476
-181.0,181,376.699711
-200.0,200,377.670435
-148.0,148,378.375674
-200.0,200,379.35446
-200.0,200,380.364174
-200.0,200,381.402607
-200.0,200,382.346098
-200.0,200,383.3586
-198.0,198,384.269591
-177.0,177,385.135973
-200.0,200,386.17158
-188.0,188,387.149958
-168.0,168,387.940094
-200.0,200,388.94897
-200.0,200,389.898408
-171.0,171,390.745647
-200.0,200,391.689696
-139.0,139,392.55489
-163.0,163,393.350176
-200.0,200,394.398614
-188.0,188,395.246376
-172.0,172,396.108631
-193.0,193,397.049964
-124.0,124,397.660351
-185.0,185,398.474619
-200.0,200,399.494927
-200.0,200,400.232192
-184.0,184,401.172911
-175.0,175,402.175682
-200.0,200,403.132725
-159.0,159,404.02635
-186.0,186,404.967468
-121.0,121,405.579443
-200.0,200,406.540121
-170.0,170,407.385582
-200.0,200,408.343254
-153.0,153,409.145995
-155.0,155,409.853167
-135.0,135,410.558533
-200.0,200,411.514943
-160.0,160,412.283577
-157.0,157,413.083279
-147.0,147,413.80641
-183.0,183,414.73902
-111.0,111,415.280608
-183.0,183,416.17416
-197.0,197,417.114936
-169.0,169,417.962533
-148.0,148,418.689889
-200.0,200,419.690463
-155.0,155,420.394991
-134.0,134,421.109616
-152.0,152,421.840907
-160.0,160,422.625109
-156.0,156,423.379528
-115.0,115,423.930567
-145.0,145,424.636775
-143.0,143,425.330551
-110.0,110,425.866322
-176.0,176,426.715483
-166.0,166,427.565066
-134.0,134,428.194884
-94.0,94,428.664814
-151.0,151,429.377445
-162.0,162,430.172361
-162.0,162,430.830505
-153.0,153,431.645788
-137.0,137,432.414937
-110.0,110,432.869471
-154.0,154,433.655047
-121.0,121,434.219958
-169.0,169,435.019571
-156.0,156,435.74204
-142.0,142,436.386415
-166.0,166,437.075613
-200.0,200,438.033007
-200.0,200,438.976477
-141.0,141,439.687762
-175.0,175,440.53334
-183.0,183,441.45924
-143.0,143,442.068611
-171.0,171,443.001741
-117.0,117,443.533052
-200.0,200,444.522631
-200.0,200,446.970671
-155.0,155,448.211337
-156.0,156,449.012517
-155.0,155,449.783465
-168.0,168,450.672174
-119.0,119,451.315932
-159.0,159,452.085025
-200.0,200,453.091654
-139.0,139,453.801209
-187.0,187,454.682137
-156.0,156,455.45558
-152.0,152,456.161433
-185.0,185,457.182736
-92.0,92,457.620253
-146.0,146,458.294073
-162.0,162,459.108782
-178.0,178,459.993845
-165.0,165,460.726491
-164.0,164,461.490987
-200.0,200,462.495138
-155.0,155,463.318162
-127.0,127,463.972154
-132.0,132,464.677705
-185.0,185,465.68522
-200.0,200,466.723918
-194.0,194,467.711236
-183.0,183,468.708963
-114.0,114,469.249588
-109.0,109,469.786829
-121.0,121,470.351355
-143.0,143,471.072797
-159.0,159,471.936268
-109.0,109,472.570932
-111.0,111,473.090464
-200.0,200,473.948554
-132.0,132,474.669251
-187.0,187,475.707053
-177.0,177,476.695972
-166.0,166,477.52106
-176.0,176,478.322685
-153.0,153,479.04232
-200.0,200,480.265332
-115.0,115,480.853487
-129.0,129,481.50985
-181.0,181,482.411713
-115.0,115,483.002774
-158.0,158,483.7487
-164.0,164,484.64298
-129.0,129,485.327812
-200.0,200,486.343873
-136.0,136,487.057259
-176.0,176,488.124051
-130.0,130,488.955539
-182.0,182,489.911617
-115.0,115,490.509082
-128.0,128,491.142692
-148.0,148,491.894005
-184.0,184,492.734332
-151.0,151,493.594928
-160.0,160,494.592008
-170.0,170,495.406325
-118.0,118,496.021306
-171.0,171,496.883427
-166.0,166,497.744
-154.0,154,498.51172
-136.0,136,499.221442
-154.0,154,499.965988
-123.0,123,500.602031
-124.0,124,501.231973
-182.0,182,502.162229
-118.0,118,502.763454
-128.0,128,503.39994
-111.0,111,503.915734
-177.0,177,504.794791
-114.0,114,505.362209
-108.0,108,505.836259
-158.0,158,506.664692
-151.0,151,507.527268
-122.0,122,508.121285
-100.0,100,508.684596
-109.0,109,509.147331
-106.0,106,509.895367
-124.0,124,510.540362
-99.0,99,511.052968
-106.0,106,511.635833
-106.0,106,512.125894
-98.0,98,512.608299
-107.0,107,513.128733
-110.0,110,513.718811
-118.0,118,514.303905
-106.0,106,515.09801
-115.0,115,515.685926
-110.0,110,516.27647
-129.0,129,516.976885
-200.0,200,518.065815
-124.0,124,518.716522
-127.0,127,519.317695
-155.0,155,520.187169
-128.0,128,520.820291
-151.0,151,521.556996
-107.0,107,521.972718
-107.0,107,522.523655
-107.0,107,522.991847
-152.0,152,523.852916
-173.0,173,524.761353
-116.0,116,525.464943
-107.0,107,526.12208
-105.0,105,526.630087
-127.0,127,527.308027
-115.0,115,527.970151
-107.0,107,528.539218
-123.0,123,529.140255
-163.0,163,530.055984
-101.0,101,530.525703
-197.0,197,531.691269
-108.0,108,532.20462
-166.0,166,533.082212
-113.0,113,533.660964
-151.0,151,534.392462
-106.0,106,535.040586
-107.0,107,535.604331
-143.0,143,536.238683
-87.0,87,536.735671
-109.0,109,537.395532
-118.0,118,538.005891
-122.0,122,538.695938
-94.0,94,539.200759
-106.0,106,539.744018
-113.0,113,540.327144
-145.0,145,541.118476
-88.0,88,541.619091
-107.0,107,542.173663
-147.0,147,542.849273
-107.0,107,543.385279
-93.0,93,543.853266
-114.0,114,544.433867
-98.0,98,544.969965
-109.0,109,545.563941
-109.0,109,546.235277
-126.0,126,547.01267
-126.0,126,547.666038
-89.0,89,548.089672
-111.0,111,548.678034
-113.0,113,549.293535
-108.0,108,549.95568
-114.0,114,550.587226
-164.0,164,551.697885
-152.0,152,552.352884
-143.0,143,553.044878
-103.0,103,553.715516
-169.0,169,554.809131
-188.0,188,555.814801
-92.0,92,556.236784
-110.0,110,556.7956
-113.0,113,557.364739
-112.0,112,557.933403
-145.0,145,558.64887
-151.0,151,559.44846
-120.0,120,560.020857
-141.0,141,560.7558
-159.0,159,561.598704
-111.0,111,562.190822
-153.0,153,562.996116
-117.0,117,563.736427
-114.0,114,564.361253
-149.0,149,565.11733
-105.0,105,565.630577
-87.0,87,566.014042
-113.0,113,566.567867
-146.0,146,567.364448
-165.0,165,568.344308
-155.0,155,569.205404
-200.0,200,570.093238
-94.0,94,570.518588
-126.0,126,571.241558
-90.0,90,571.621517
-86.0,86,572.212513
-118.0,118,572.760479
-121.0,121,573.361622
-89.0,89,573.746371
-153.0,153,574.647258
-122.0,122,575.412716
-160.0,160,576.17698
-115.0,115,576.681298
-115.0,115,577.345388
-110.0,110,577.880776
-105.0,105,578.311352
-176.0,176,579.262981
-88.0,88,579.705526
-108.0,108,580.42368
-163.0,163,581.329328
-117.0,117,581.896269
-88.0,88,582.33246
-128.0,128,582.942631
-138.0,138,583.532693
-112.0,112,584.139765
-147.0,147,584.888013
-109.0,109,585.435839
-151.0,151,586.264445
-120.0,120,586.924615
-147.0,147,587.674897
-151.0,151,588.459234
-136.0,136,589.164092
-134.0,134,589.819168
-139.0,139,590.566544
-144.0,144,591.350263
-187.0,187,592.477438
-139.0,139,593.252114
-100.0,100,593.769475
-124.0,124,594.458031
-121.0,121,595.157417
-113.0,113,595.742827
-112.0,112,596.320071
-116.0,116,597.01248
-94.0,94,597.488969
-87.0,87,597.934489
-116.0,116,598.492237
-96.0,96,599.051735
-113.0,113,599.687804
-115.0,115,600.376835
-93.0,93,600.878039
